record_code,batch_code,sample_date,pig_age_days,avg_weight,total_feed_quantity,feeding_count,avg_feeding_interval_hours,pen_code,pen_capacity,pen_status,growth_stage,feed_type_mode,device_code,window_days
SYNREC001,SYNBATCH001,2026-03-27T07:00:00Z,118,72.2,3.35,2,11.3,SYNPEN001,30,available,FINISHER,manual,SYNDEV001,1
SYNREC002,SYNBATCH001,2026-03-28T04:00:00Z,121,78.7,3.33,2,12.2,SYNPEN001,30,available,FINISHER,manual,SYNDEV001,1
SYNREC003,SYNBATCH001,2026-03-29T01:00:00Z,128,84.3,3.82,2,12.3,SYNPEN001,30,available,FINISHER,manual,SYNDEV001,7
SYNREC004,SYNBATCH001,2026-03-30T08:00:00Z,132,88.0,3.39,2,11.7,SYNPEN001,30,available,FINISHER,manual,SYNDEV001,1
SYNREC005,SYNBATCH001,2026-03-31T05:00:00Z,133,91.5,3.74,3,8.0,SYNPEN001,30,available,FINISHER,manual,SYNDEV001,1
SYNREC006,SYNBATCH002,2026-04-01T06:00:00Z,48,13.1,1.84,3,8.4,SYNPEN002,18,available,STARTER,manual,SYNDEV002,1
SYNREC007,SYNBATCH002,2026-04-02T03:00:00Z,49,16.8,2.04,4,6.0,SYNPEN002,18,available,STARTER,manual,SYNDEV002,1
SYNREC008,SYNBATCH002,2026-04-03T00:00:00Z,62,23.7,2.35,4,6.0,SYNPEN002,18,available,STARTER,manual,SYNDEV002,1
SYNREC009,SYNBATCH002,2026-04-04T07:00:00Z,63,22.9,2.01,4,5.6,SYNPEN002,18,available,STARTER,manual,SYNDEV002,1
SYNREC010,SYNBATCH002,2026-04-05T04:00:00Z,71,28.1,3.28,4,6.0,SYNPEN002,18,available,GROWER,manual,SYNDEV002,1
SYNREC011,SYNBATCH003,2026-04-06T05:00:00Z,97,53.4,2.91,4,5.8,SYNPEN003,14,available,GROWER,manual,SYNDEV003,1
SYNREC012,SYNBATCH003,2026-04-07T02:00:00Z,103,61.7,3.35,4,6.5,SYNPEN003,14,available,GROWER,manual,SYNDEV003,1
SYNREC013,SYNBATCH003,2026-03-11T23:00:00Z,114,72.7,3.12,3,8.6,SYNPEN003,14,available,FINISHER,manual,SYNDEV003,1
SYNREC014,SYNBATCH003,2026-03-13T06:00:00Z,121,80.0,3.16,2,12.3,SYNPEN003,14,available,FINISHER,manual,SYNDEV003,1
SYNREC015,SYNBATCH003,2026-03-14T03:00:00Z,123,79.3,3.63,3,8.5,SYNPEN003,14,available,FINISHER,manual,SYNDEV003,1
SYNREC016,SYNBATCH004,2026-03-15T04:00:00Z,51,18.2,2.17,4,6.6,SYNPEN004,28,occupied,STARTER,manual,SYNDEV004,1
SYNREC017,SYNBATCH004,2026-03-16T01:00:00Z,61,25.8,1.98,4,6.2,SYNPEN004,28,occupied,STARTER,manual,SYNDEV004,7
SYNREC018,SYNBATCH004,2026-03-17T08:00:00Z,63,24.4,2.11,4,5.5,SYNPEN004,28,occupied,STARTER,manual,SYNDEV004,1
SYNREC019,SYNBATCH004,2026-03-18T05:00:00Z,67,28.1,2.2,4,5.4,SYNPEN004,28,occupied,STARTER,manual,SYNDEV004,1
SYNREC020,SYNBATCH004,2026-03-19T02:00:00Z,76,33.6,2.47,3,7.9,SYNPEN004,28,occupied,GROWER,manual,SYNDEV004,1
SYNREC021,SYNBATCH005,2026-03-20T03:00:00Z,69,26.0,2.54,4,6.0,SYNPEN005,10,available,STARTER,manual,SYNDEV005,7
SYNREC022,SYNBATCH005,2026-03-21T00:00:00Z,71,25.9,2.59,3,8.0,SYNPEN005,10,available,GROWER,manual,SYNDEV005,7
SYNREC023,SYNBATCH005,2026-03-22T07:00:00Z,80,36.7,2.87,3,8.3,SYNPEN005,10,available,GROWER,manual,SYNDEV005,1
SYNREC024,SYNBATCH005,2026-03-23T04:00:00Z,82,37.2,2.8,3,8.6,SYNPEN005,10,available,GROWER,manual,SYNDEV005,1
SYNREC025,SYNBATCH005,2026-03-24T01:00:00Z,86,41.4,2.59,3,8.0,SYNPEN005,10,available,GROWER,manual,SYNDEV005,1
SYNREC026,SYNBATCH006,2026-03-25T02:00:00Z,91,47.7,2.5,4,6.0,SYNPEN006,17,available,GROWER,manual,SYNDEV006,1
SYNREC027,SYNBATCH006,2026-03-25T23:00:00Z,96,53.2,3.33,3,7.6,SYNPEN006,17,available,GROWER,manual,SYNDEV006,7
SYNREC028,SYNBATCH006,2026-03-27T06:00:00Z,103,58.2,2.61,3,7.5,SYNPEN006,17,available,GROWER,manual,SYNDEV006,7
SYNREC029,SYNBATCH006,2026-03-28T03:00:00Z,116,70.8,4.18,2,12.1,SYNPEN006,17,available,FINISHER,manual,SYNDEV006,7
SYNREC030,SYNBATCH006,2026-03-29T00:00:00Z,118,75.5,3.57,3,8.8,SYNPEN006,17,available,FINISHER,manual,SYNDEV006,7
SYNREC031,SYNBATCH007,2026-03-30T01:00:00Z,50,16.5,2.19,4,5.5,SYNPEN007,30,occupied,STARTER,manual,SYNDEV007,7
SYNREC032,SYNBATCH007,2026-03-31T08:00:00Z,55,18.8,2.53,4,5.5,SYNPEN007,30,occupied,STARTER,manual,SYNDEV007,1
SYNREC033,SYNBATCH007,2026-04-01T05:00:00Z,58,19.0,1.76,3,8.6,SYNPEN007,30,occupied,STARTER,manual,SYNDEV007,7
SYNREC034,SYNBATCH007,2026-04-02T02:00:00Z,67,26.4,2.55,3,8.2,SYNPEN007,30,occupied,STARTER,manual,SYNDEV007,1
SYNREC035,SYNBATCH007,2026-04-02T23:00:00Z,79,37.1,2.48,4,6.1,SYNPEN007,30,occupied,GROWER,manual,SYNDEV007,1
SYNREC036,SYNBATCH008,2026-04-04T00:00:00Z,69,28.8,2.06,4,5.8,SYNPEN008,24,occupied,STARTER,manual,SYNDEV008,1
SYNREC037,SYNBATCH008,2026-04-05T07:00:00Z,70,29.2,2.41,3,8.2,SYNPEN008,24,occupied,GROWER,manual,SYNDEV008,1
SYNREC038,SYNBATCH008,2026-04-06T04:00:00Z,73,31.7,2.94,3,7.6,SYNPEN008,24,occupied,GROWER,manual,SYNDEV008,1
SYNREC039,SYNBATCH008,2026-04-07T01:00:00Z,84,41.6,3.28,3,7.6,SYNPEN008,24,occupied,GROWER,manual,SYNDEV008,1
SYNREC040,SYNBATCH008,2026-03-12T08:00:00Z,85,44.2,3.38,4,6.0,SYNPEN008,24,occupied,GROWER,manual,SYNDEV008,1
SYNREC041,SYNBATCH009,2026-03-12T23:00:00Z,117,76.0,4.08,2,11.0,SYNPEN009,15,occupied,FINISHER,automatic,SYNDEV009,1
SYNREC042,SYNBATCH009,2026-03-14T06:00:00Z,118,75.7,3.33,3,8.4,SYNPEN009,15,occupied,FINISHER,automatic,SYNDEV009,1
SYNREC043,SYNBATCH009,2026-03-15T03:00:00Z,122,82.0,3.64,3,8.6,SYNPEN009,15,occupied,FINISHER,automatic,SYNDEV009,1
